sample_id,id,question
fin_000,4310,Invest all at once after maxing out Roth IRA - or each time I contribute?
fin_001,4370,"Are U.S. salaries typically measured/reported before tax, or after tax?"
fin_002,3107,Is it possible to allocate pre-tax money to a specific stock?
fin_003,505,Why doesn't change in accounts receivable on balance sheet match cash flow statement?
fin_004,4043,Does Apple have $0 of treasury stock?
fin_005,2269,Is there a significant danger to market orders as opposed to limit orders?
fin_006,3329,"How are people able to spend more than what they make, without going into debt?"
fin_007,2068,"For a car, would you pay cash, finance for 0.9% or lease for 0.9%?"
fin_008,4414,How does it work when the same ETF is listed on several stock exchanges?
fin_009,3800,Should I pay my Education Loan or Put it in the Stock Market?
fin_010,1774,"What is the effect of a high dollar on the Canadian economy, investors, and consumers?"
fin_011,3158,What's the formula for profits and losses when I delta hedge?
fin_012,3847,Is it possible to sell a stock at a higher value than the market price?
fin_013,2230,"How to get 0% financing for a car, with no credit score?"
fin_014,262,Is it cheaper to use car Insurance or pay out of pocket?
fin_015,1557,Should I scale down my 401k?
fin_016,722,Where can I borrow money for investing?
fin_017,1225,"Is legal sending dollars to someone in Mexico, and sending them back for profit?"
fin_018,2729,To sell or to rent the house?
fin_019,1389,what if a former employer contributes to my 401k in the year following my exit?
fin_020,1584,gift is taxable but is “loan” or “debt” taxable?
fin_021,3192,If I get cash compensation for my stocks (following a merger for example) does that qualify for capital gains tax?
fin_022,3292,On what dates do the U.S. and Canada release their respective federal budgets?
fin_023,2200,Is there a term for total money owed to you?
fin_024,1738,"I have more than $250,000 in a US Bank account… mistake?"
fin_025,1343,What is a maximum amount that I can wire transfer out of US?
fin_026,1385,Are BIC and SWIFT code the same things?
fin_027,171,Sage Instant Accounts or Quickbooks?
fin_028,395,Options on the E-mini S&P 500 Futures at the CME: what's the expiry date of the underlying future?
fin_029,1455,"Working as a freelancer overseas, but US Citizen, what is my tax situation?"
fin_030,1847,What will be the long term impact of the newly defined minimum exchange rate target from francs to euro?
fin_031,3505,What price can *I* buy IPO shares for?
fin_032,2061,What is the best cross-platform GPL personal finance tool available?
fin_033,2475,Is it adventageous to expedite my wedding before the new year for tax savings?
fin_034,3006,I don't live in America. How can I buy IPO stock of newly listed companies in the United States?
fin_035,648,Is there a financial benefit for buyers from using community currencies?
fin_036,1904,"I have an extra 1000€ per month, what should I do with it?"
fin_037,404,What is the tax levied against stock portion cashed out of 401k?
fin_038,3137,Resources on how to be a short term trader?
fin_039,331,"Received a late 1099 MISC for income I reported already, do I have to amend?"
fin_040,3209,Does a bid and ask price exist for indices like the S&P500?
fin_041,1972,How to take advantage of record high household debt in Canada?
fin_042,4046,Long term bond index prices before 2000?
fin_043,3900,"Can anybody explain “cut their exposure to equities” and “fat and flat range” for me, please?"
fin_044,3968,Is there a “standard deduction” for Line 5 on Schedule A of Federal taxes?
fin_045,3650,A deferred capital gains tax similar to the real estate 1031 Exchange but for securities reinvestment?
fin_046,3511,Why I cannot buy at ask price?
fin_047,1180,"What does “interest rates”, without any further context, generically refer to?"
fin_048,213,The formula equivalent of EBITDA for personal finance?
fin_049,2072,What is the formula for the Tesla Finance calculation?
fin_050,3119,Can a stop loss order be triggered by random price?
fin_051,3340,"In 2015, why has the price of natural gas been plummeting?"
fin_052,3263,When can we exercice an option?
fin_053,559,Tax implications of having some self-employment income?
fin_054,4343,I am a Canadian resident who wants to gift my Adult US child CAD$175K. What are the tax implications?
fin_055,1943,When should you use an actively managed mutual fund in a 401k?
fin_056,2264,Why does shorting a call option have potential for unlimited loss?
fin_057,2298,Tax advantages of using 529 plans to save for child's education?
fin_058,3106,Is there an ETF or Mutual Fund which tracks James O'Shaugnessy's Trending 25 stock strategy?
fin_059,2485,Should I avoid credit card use to improve our debt-to-income ratio?
fin_060,201,What would happen if the Euro currency went bust?
fin_061,2012,How are bonds affected by the Federal Funds Rate?
fin_062,789,What is today's price of 15 000 Euro given 15 years ago?
fin_063,850,"PayPal wants me to “add a bank account”, another funding source. Credit card isn't working. Why?"
fin_064,3375,Does the expense ratio of a fund-of-funds include the expense ratios of its holdings?
fin_065,635,Settling before T+3?
fin_066,3220,Is it legal to not get a 1099-b until March 15?
fin_067,2676,Is ScholarShare a legitimate entity for a 529 plan in California?
fin_068,335,How to estimate federal and state taxes likely to be due on my side income?
fin_069,2683,Why does short selling require borrowing?
fin_070,2314,What actions should I be taking to establish good credit scores for my children?
fin_071,476,How far do I go with a mortgage approval process when shopping around?
fin_072,2943,Specifically when do options expire?
fin_073,3707,What does “a stock pays a dividend of 3%” mean?
fin_074,3401,Emulating a 'long straddle' without buying or selling Options?
fin_075,2622,What does the average log-return value of a stock mean?
fin_076,4125,Why does it seem unnecessary to fully save for irregular periodic expenses?
fin_077,1203,Should I give to charity by check or credit card?
fin_078,111,What percentage of my company should I have if I only put money?
fin_079,361,Figuring out if I receive US income?
fin_080,1160,2008-2009 Stock Market Crash — what caused the second drop?
fin_081,4012,Short term investing vs Leaving money alone?
fin_082,2582,What does APR mean I'm paying?
fin_083,959,Why don't banks give access to all your transaction activity?
fin_084,3912,Short an option - random assignment?
fin_085,4100,Do dark pools have to declare the volume transacted at the end of the day?
fin_086,3232,Why buy a vertical spread if I could instead buy a naked call?
fin_087,2332,How do I calculate the quarterly returns of a stock index?
fin_088,565,"If I have some old gold jewellery, is it worth it to sell it for its melt value?"
fin_089,3436,Are RSUs ever taxed as long term capital gains?
fin_090,1799,What does “Net Depreciation in Fair Value” mean on a financial report?
fin_091,980,Alternatives to Intuit's PayTrust service for online bill viewing and bill payment?
fin_092,1709,Where can I lookup accurate current exchange rates for consumers?
fin_093,1361,What are the advantages and disadvantages of leasing out a property or part of a property (such as a basement apartment)?
fin_094,1363,What does Capital Surplus mean?
fin_095,369,"Selling an app, sharing income, how does it work tax-wise?"
fin_096,4135,Will anything happen to me if the AMT is not re-established before 2011?
fin_097,34,"How to record business income tax paid, in QuickBooks?"
fin_098,1486,Is there any instance where less leverage will get you a better return on a rental property?
fin_099,1223,Do property taxes get deducted 100% from the Annual Tax Return or only a fraction of them?
